#      n       tempo(s)
      32       0.000487
      64       0.001093
     128       0.002462
     256       0.005639
     512       0.012489
    1024       0.027764
    2048       0.061132
    4096       0.137670
    8192       0.295912
   16384       0.630963
   32768       1.332000
   65536       2.861320
