#      n      memoria gasta
      32      24.383000 MiB
      64      24.102000 MiB
     128      24.047000 MiB
     256      24.164000 MiB
     512      24.383000 MiB
    1024      24.070000 MiB
    2048      24.137000 MiB
    4096      24.055000 MiB
    8192      24.371000 MiB
   16384      24.555000 MiB
