#      n      memoria gasta
      32      24.102000 MiB
      64      24.199000 MiB
     128      24.121000 MiB
     256      24.078000 MiB
     512      24.242000 MiB
    1024      24.215000 MiB
    2048      24.000000 MiB
    4096      24.230000 MiB
    8192      24.168000 MiB
   16384      24.738000 MiB
