#      n      memoria gasta
      32      24.125000 MiB
      64      24.078000 MiB
     128      24.270000 MiB
     256      24.074000 MiB
     512      24.098000 MiB
    1024      24.016000 MiB
    2048      24.121000 MiB
    4096      24.270000 MiB
    8192      24.375000 MiB
   16384      24.543000 MiB
